Rk,Nation,Squad,Age,Born,90s,Gls,Sh.2,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,FianlThirdPass,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Sh.1,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd.1,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,FinalThirdPos,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Pos
1,us USA,Leeds United,21,2000,26.4,0.04,1.55,0.34,22,1.56,0.34,0.02,0.11,18.4,0.08,0,0,0.15,0.15,0.09,-0.11,-0.11,22.4,30.2,74.3,287,82.7,13.1,16,81.8,5.68,7.39,76.9,0.95,2.46,38.5,0.11,0.16,0.1,-0.05,1.74,1.78,0.61,0.15,3.26,30.2,26.9,3.22,0.98,0.3,0.08,2.73,0.19,1.44,0.64,0.53,0.04,22.4,0.04,1.02,3.6,3.6,2.16,0.64,0.27,0.19,0.3,0.04,0.27,0.27,0.11,0.04,0,0.04,0.04,0.04,1.7,0.68,0.61,0.83,0.27,0.57,1.74,32.6,1.17,1.63,0.11,1.52,0.19,1.89,0.23,0.04,43.3,0.45,4.39,18.8,21,2.73,43.3,3.79,1.29,34,1.82,48,26,138.1,58,1.63,1.29,0.49,2.69,3.11,29.1,5.72,0.08,0,0,0.61,2.08,0.23,2.73,0.19,0.68,0,0,0,4.85,0.3,1.48,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW
2,sct SCO,Southampton,26,1996,22.1,0.23,2.13,0.63,29.8,2.12,0.63,0.11,0.36,13.8,0,0,0,0.3,0.3,0.14,-0.08,-0.08,14.9,22.5,66.3,210.5,47.1,9.28,12.6,73.7,3.53,5.34,66.1,1.18,1.67,70.3,0.14,0.13,0.1,0.01,1.09,0.95,0.5,0.09,1.54,22.5,22.2,0.32,0,0.27,0.32,0.54,0.18,0,0,0,0,14.9,0.05,0.77,2.58,2.57,1.99,0.05,0.09,0.23,0.23,0,0.32,0.32,0.23,0,0,0,0.09,0,0.77,0.59,0.32,0.36,0.09,0.32,0.54,58.3,0.23,0.59,0.18,0.41,0.18,0.95,1,0,32.4,1.31,2.99,12.9,17.1,4.66,32.4,1.54,0.77,50,0.59,38.2,18.4,73.4,21.3,0.77,0.5,0.41,2.99,1.27,25.2,5.2,0.05,0,0,1.72,1.22,0.63,0.54,0.18,0.59,0,0,0,2.4,2.76,4.66,37.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW
3,us USA,Leeds United,23,1999,24,0,0.17,0,0,0.17,0,0,,27.5,0,0,0,0,0,0.03,0,0,46.2,56,82.5,691.3,210.9,25.3,28.6,88.5,16.3,19.2,84.8,2.63,4.46,58.9,0,0.06,0.04,-0.06,1,4.58,0.54,0,5.67,56,53,3,2.42,0.04,0.08,0.08,0.58,0,0,0,0,46.2,0,1,1.79,1.79,1.75,0,0,0,0.04,0,0.04,0.04,0.04,0,0,0,0,0,3.71,1.92,1.83,1.46,0.42,2.08,3.21,64.9,1.13,2,0.33,1.67,1.46,5.17,1.21,0,67.8,1.83,15.7,42.1,10.6,0.21,67.8,0.92,0.29,31.8,0.5,54.5,34.1,139.3,64.8,0.79,0.88,0,1.17,0.75,38.3,0.83,0.25,0.04,0.04,1.54,0.88,0.04,0.08,1.46,1.92,0,0,0,8.29,1.04,0.63,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MF
4,eng ENG,Fulham,24,1997,23.2,0.04,0.69,0.17,25,0.69,0.17,0.06,0.25,21.2,0.04,0,0,0.03,0.03,0.04,0.01,0.01,45.9,56,82,975.1,365.4,11.4,13.2,86.3,28.1,31.7,88.8,5.86,9.61,61,0,0.02,0.02,-0.02,0.26,4.14,0.3,0,4.09,56,53.2,2.5,2.03,0.09,0.52,0.09,0.3,0,0,0,0,45.9,0.3,0.43,0.78,0.78,0.65,0,0,0.13,0,0,0,0,0,0,0,0,0,0,1.29,0.56,0.95,0.26,0.09,0.69,0.99,69.6,0.3,0.86,0.65,0.22,1.12,2.41,6.03,0.04,66.6,9.96,33.4,31.7,2.03,0.82,66.6,0.47,0.39,81.8,0.09,18.2,35.9,192.7,117.8,0.69,0.52,0.04,0.17,0.17,42,0.13,0.17,0,0,0.73,0.22,0.13,0.09,1.12,0.56,0,0,0,4.74,2.54,1.12,69.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF
5,ma MAR,West Ham,26,1996,17.7,0.11,0.68,0.11,16.7,0.68,0.11,0.17,1,9.9,0,0,0,0.12,0.12,0.19,-0.01,-0.01,33.8,43.1,78.5,689.4,301.2,12.7,13.8,91.8,16.2,18.9,85.7,4.63,9.55,48.5,0,0.03,0.02,-0.03,0.34,2.09,0.23,0,1.41,43.1,40.8,2.03,1.64,0,1.19,0,0,0,0,0,0,33.8,0.23,0.28,0.79,0.79,0.68,0.06,0,0.06,0,0,0,0,0,0,0,0,0,0,1.53,1.02,1.02,0.45,0.06,0.73,1.13,65,0.4,1.47,1.36,0.11,1.02,2.54,4.46,0.11,53.6,9.1,31.8,20.2,1.98,1.3,53.6,0.34,0.23,66.7,0,0,29.5,120.2,64.2,0.11,0.06,0,0.45,0.4,31.9,0.23,0.23,0,0,0.45,0.45,0.11,0,1.02,1.02,0,0.06,0,5.93,1.81,1.75,50.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF
6,dz ALG,Wolves,21,2001,12,0.08,0.83,0.42,50,0.84,0.42,0.1,0.2,14.1,0,0,0,0.06,0.06,0.07,0.02,0.02,39.2,48.2,81.3,589.9,196.1,22.3,25,89.3,14.1,17.1,82.4,1.67,2.67,62.5,0,0.08,0.07,-0.08,0.58,2.42,1.17,0.42,3.58,48.2,40.6,7.42,0.42,0,0.17,1.75,6.75,0.25,0.08,0.17,0,39.2,0.17,1.5,1.92,1.93,1.17,0.17,0.33,0.08,0.17,0,0,0,0,0,0,0,0,0,2.75,1.67,2.08,0.58,0.08,0.75,1.33,56.3,0.58,0.25,0,0.25,0.75,3.5,2.33,0,61.7,3.33,20,23.3,19.4,2.33,61.7,4.17,2.33,56,1.5,36,32.9,188.3,103.7,2.5,1.08,0.83,2.33,1,37.8,6.33,0.33,0,0,1.25,0.92,0.25,1.75,0.75,1.67,0,0.08,0.08,5.08,1.17,1.42,45.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF
7,ch SUI,Manchester City,27,1995,25.4,0,0.59,0.08,13.3,0.59,0.08,0,0,15.9,0,0,0,0.05,0.05,0.09,-0.05,-0.05,75.3,80.9,93,1284.8,403.9,34.1,35.5,96.1,35.6,37.2,95.6,4.61,6.54,70.5,0.04,0.02,0.04,0.02,0.28,5.51,0.12,0.04,4.57,80.9,78.7,2.17,1.1,0,0.31,0.24,1.06,0,0,0,0,75.3,0.08,0.31,0.91,0.91,0.87,0,0,0.04,0,0,0,0,0,0,0,0,0,0,1.42,0.98,0.59,0.71,0.12,0.91,1.42,63.9,0.51,1.06,0.35,0.71,0.63,2.05,1.3,0.04,87.8,4.76,32.1,49.1,6.93,1.34,87.8,0.47,0.24,50,0.12,25,60.8,332.4,198.4,0.94,1.57,0.04,0.47,0.12,68.3,0.67,0.08,0,0,0.94,0.47,0,0.24,0.63,0.98,0,0,0,5.35,0.91,1.34,40.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF
8,nl NED,Manchester City,27,1995,20.8,0.05,0.43,0.1,22.2,0.43,0.1,0.11,0.5,10.5,0,0,0,0.08,0.08,0.17,-0.03,-0.03,78.8,87.2,90.4,1259.6,430.4,38.6,40.7,94.9,35.8,38.9,92.1,3.03,4.71,64.3,0,0.03,0.06,-0.03,0.43,7.93,0.43,0.05,6.73,87.2,81,6.06,1.68,0.05,0.29,0.72,4.38,0,0,0,0,78.8,0.1,1.25,1.15,1.15,0.96,0.05,0,0.1,0,0.05,0.1,0.1,0.1,0,0,0,0,0,1.25,0.58,0.72,0.43,0.1,0.53,0.72,73.3,0.19,0.96,0.48,0.48,0.96,2.21,2.31,0,94.2,4.13,29.6,52.7,12.3,1.54,94.2,0.24,0.14,60,0.05,20,58.8,262.3,159.3,1.2,0.91,0.19,0.77,0,71.7,1.44,0.1,0,0,0.58,0.67,0.05,0.72,0.96,0.58,0,0,0,4.62,1.73,1.11,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF
9,es ESP,Liverpool,31,1991,13.9,0,0.72,0.07,10,0.72,0.07,0,0,24.1,0,0,0,0.03,0.03,0.04,-0.03,-0.03,68.1,78.9,86.2,1238.8,358.8,31.2,33.5,92.9,24.9,28.2,88.3,9.78,12.4,79.1,0,0.08,0.09,-0.08,1.22,7.91,1.44,0.07,8.63,78.9,76.5,2.23,1.65,0.58,1.08,0.22,0.43,0,0,0,0,68.1,0.22,1.58,2.88,2.87,2.37,0,0.22,0.07,0.07,0.14,0.14,0.14,0.14,0,0,0,0,0,3.09,1.73,1.44,1.51,0.14,1.01,1.65,60.9,0.65,1.08,0.22,0.86,1.51,4.6,0.94,0.14,90,3.24,19.6,57.3,13.5,0.58,90,2.16,1.51,70,0.29,13.3,51.7,261.8,123.8,0.94,1.51,0,0.94,1.58,65.5,1.73,0.14,0,0,1.29,1.8,0,0.22,1.51,1.73,0,0.07,0,7.99,1.01,1.73,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MF
10,ar ARG,Southampton,19,2002,11.4,0.35,2.11,0.88,41.7,2.1,0.87,0.17,0.4,20,0,0,0,0.17,0.17,0.08,0.18,0.18,19.5,25.4,76.6,276.1,58.7,10,12,83.2,7.02,8.33,84.2,0.7,1.67,42.1,0.18,0.06,0.06,0.11,0.44,1.75,0.53,0,2.46,25.4,24.5,0.79,0.09,0.18,0.35,0.35,0.09,0,0,0,0,19.5,0.18,0.88,1.93,1.92,1.23,0,0.18,0.26,0.18,0.09,0.35,0.35,0.26,0,0,0.09,0,0,0.88,0.44,0.18,0.61,0.09,0.53,1.93,27.3,1.4,1.23,0.44,0.79,0.09,0.96,0.96,0,37.7,1.23,6.4,20.5,11.4,2.02,37.7,2.46,1.14,46.4,0.96,39.3,22.6,113.3,59.2,1.75,1.49,0.18,2.63,2.11,26,2.81,0.26,0,0,1.4,1.49,0.18,0.35,0.09,0.44,0,0,0,4.65,0.61,2.37,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW
11,eng ENG,Liverpool,23,1998,32.5,0.06,1.23,0.25,20,1.23,0.25,0.05,0.25,23.8,0.15,0,0,0.07,0.07,0.06,-0.01,-0.01,67.3,89.6,75.1,1279.7,502.2,30.8,34.6,89,25.3,32.2,78.7,10.2,19.8,51.6,0.28,0.35,0.28,-0.08,2.18,7.35,2.52,0.86,7.23,89.6,73.6,15.7,2.15,0.8,1.82,7.75,10.5,3.02,0.49,2.28,0.03,67.3,0.31,1.14,3.82,3.82,2.49,1.05,0.09,0.15,0.03,0,0.52,0.52,0.43,0.06,0.03,0,0,0,1.75,1.23,0.98,0.49,0.28,1.29,2.46,52.5,1.17,0.77,0.22,0.55,1.32,3.08,1.26,0.06,97.8,2.74,22.7,50.2,25.8,1.35,97.8,1.38,0.92,66.7,0.4,28.9,54.7,210.7,101.9,1.32,1.2,0.25,1.08,0.65,62.8,4.28,0.15,0,0,0.68,0.18,0.15,7.75,1.32,1.23,0,0,0,7.35,0.62,0.4,60.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF
12,br BRA,Liverpool,29,1992,37,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,33.5,39.3,85.4,784.9,505.3,8.3,8.35,99.4,17.8,18,98.6,7.38,12.7,58.2,0.03,0.01,0,0.02,0.03,0.43,0,0,0.08,39.3,32.4,6.76,1.54,0,0.05,0,0,0,0,0,0,33.5,0.11,0.03,0.08,0.08,0.08,0,0,0,0,0,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.08,0.08,0,0.08,0,0,0.54,0,41.5,30.4,40.5,1.05,0,0,41.5,0.05,0.05,100,0,0,26.6,125.8,80.1,0,0,0,0.03,0,24.4,0,0.03,0,0,0.03,0.14,0,0,0,0,0,0,0,1.92,0.3,0.03,91.7,1.16,0.05,0,0,0.05,1.38,0.33,0.27,0.27,3.14,7.65,41,33.9,5.68,18.4,26.9,5.22,26.9,31.3,10.7,0.62,5.8,2.41,2.41,19.8,GK
13,py PAR,Newcastle Utd,28,1994,27.7,0.4,2.49,0.72,29,2.49,0.72,0.16,0.55,16.4,0,0,0,0.29,0.29,0.12,0.11,0.11,29.3,35.5,82.6,388.2,95.9,18.5,20.5,90.5,8.05,9.96,80.8,1.05,1.44,72.5,0.07,0.12,0.11,-0.04,0.94,1.62,1.3,0.14,4.48,35.5,34.2,1.08,0,0.11,0.14,0.94,0.65,0.4,0,0,0,29.3,0.22,1.05,3.14,3.14,2.27,0.07,0.36,0.32,0.11,0,0.47,0.47,0.18,0.04,0.18,0.07,0,0,1.66,1.08,0.58,0.69,0.4,0.65,1.52,42.9,0.87,0.9,0.07,0.83,0.36,2.02,0.61,0,46.9,0.9,5.31,15.1,27.4,4.98,46.9,2.85,1.23,43,1.19,41.8,30.4,194.5,84.5,2.78,1.66,0.9,1.84,1.01,33.4,9.53,0.07,0,0,0.79,1.19,0.32,0.94,0.36,1.08,0,0,0,5.02,0.22,0.36,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW
14,ar ARG,Manchester City,22,2000,16.3,0.55,2.82,1.23,43.5,2.83,1.23,0.17,0.4,16,0,0.06,0.06,0.43,0.38,0.13,0.12,0.11,24.2,30.9,78.5,335.7,54.3,14.2,16.6,85.9,6.32,8.28,76.3,1.72,2.64,65.1,0,0.11,0.1,-0.11,1.1,1.35,0.8,0.12,2.27,30.9,29.3,1.29,0.12,0.43,0.18,1.6,0.25,0.25,0.18,0,0,24.2,0.25,1.04,3.19,3.2,2.39,0,0.37,0.31,0.12,0,0.31,0.31,0.12,0,0.06,0.06,0.06,0,1.6,0.98,0.18,0.8,0.61,0.55,1.84,30,1.29,0.8,0,0.8,0.12,1.72,0.37,0,40.1,0.49,2.82,15.6,22.1,5.46,40.1,2.33,1.29,55.3,0.86,36.8,24.9,134.2,55.7,2.33,1.1,1.04,1.72,1.47,31,6.07,0,0,0,1.29,0.86,0.18,1.6,0.12,0.98,0.06,0,0,2.7,0.49,1.41,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FW
15,gh GHA,Leicester City,27,1994,17.9,0,0.34,0.11,33.3,0.34,0.11,0,0,17.4,0,0,0,0.06,0.06,0.18,-0.06,-0.06,56.7,62.2,91.1,978,368.2,24.7,26.4,93.4,27.8,29.4,94.7,3.46,5.08,68.1,0,0.03,0.02,-0.03,0.28,3.24,0.06,0,3.69,62.2,61,1.12,0.84,0.11,0.11,0,0.28,0,0,0,0,56.7,0.11,0.11,0.84,0.84,0.84,0,0,0,0,0,0.06,0.06,0.06,0,0,0,0,0,1.06,0.45,0.73,0.28,0.06,0.67,0.78,85.7,0.11,1.34,0.95,0.39,0.45,1.51,3.97,0,71.5,10.3,36.8,32.3,2.57,0.5,71.5,0.28,0.11,40,0.11,40,43.5,207.8,127.1,1.28,0.61,0,0.45,0.22,50.8,0.28,0.06,0,0,0.39,0.17,0,0,0.45,0.45,0,0.06,0,6.03,1.9,1.45,56.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DF
